CUT,IN,OUT,"DUR
(F)","DUR
(s)",ACTION,SYNC,SET,s,w,k,t,DESCRIPTION,MEMO,HS,EX
空,,,,,,,,,,,,,,,
I_1,0,0,336,14.0,0,,0,,,,,空絵,,o,
O_1,1319,1575,256,10.7,1093,,0,,,,o,[T]が中央に座り込んでいる。 ※味気なかったら金魚鉢持つ。,,,
1S_2t,1902,2348,446,18.6,1661,o,0,,,,o,[T]左前で歌う, 「それはこの旅〜夢描き」撮り順変更,o,
1S_2s,1902,2348,446,18.6,1661,o,0,o,,,,[S]左後ろで演奏　, 「それはこの旅〜夢描き」撮り順変更,o,
1S_2w,1902,2348,446,18.6,1661,o,0,,o,,,[W]右前で演奏, 「それはこの旅〜夢描き」撮り順変更,o,
1S_2k,1902,2348,446,18.6,1661,o,0,,,o,,[K]右後ろで演奏, 「それはこの旅〜夢描き」撮り順変更,o,
O_3t,4480,4830,350,14.6,4013,o,0,,,,o,[T]中央で歌う,「使命はきっと〜刻まれて」撮り順変更,,o
O_3s,4480,4830,350,14.6,4013,o,0,o,,,,[S]中央で演奏,「使命はきっと〜刻まれて」撮り順変更,o,o
O_3w,4480,4830,350,14.6,4013,o,0,,o,,,[W]中央で演奏,「使命はきっと〜刻まれて」撮り順変更,o,o
O_3k,4480,4830,350,14.6,4013,o,0,,,o,,[K]中央で演奏,「使命はきっと〜刻まれて」撮り順変更,o,o
D_1,0,0,192,8.0,0,,0,,,,,ビニール袋舞い上がる。,ビニール袋一つだけになりそう,o,
1番,,,,,,,,,,,,,,,
1A_1,606,930,324,13.5,444,,2,o,,,,[S]がソファに座る,,,
1A_2,931,1256,325,13.5,606,,2,o,o,,o,[S]、ソファで本読む。[K]棒立ち。[W]、画面外からイン。,以下、地面に本が置いてある。,,
1B_1,1255,1479,224,9.3,1094,,3,o,o,,o,[S]同上。[K]、ラグをバサッとする。バサッとした後、[K]が伸ばして綺麗にしてるところを、何も気づかず[W]がクッションを持ってラグの上を歩いていく。　※ラグの勢いで積んでいた本が自然と崩れるとベスト。,,,
1B_2,1418,1646,228,9.5,1255,,4,,,o,,[T]中央に座っている。,,,
1S_1,1575,1904,329,13.7,1418,,4,o,o,o,o,男3人スマホをぼんやり見ている。[T]途中から中央右寄りに向かって歩いてくる。,,o,
1S_2,1902,2348,446,18.6,1661,,4,o,o,o,o,男3人さっきとほぼ同じだがちょっと動いている。[T]歌っている。, 「それはこの旅〜夢描き」,,
1S_3,2280,2600,320,13.3,2146,,4,,,,,1S_2と同じポジション (男3人さっきとほぼ同じだがちょっと動いている。[T]歌っている。),「夢描き〜眠ろう」,,
1M_1,2470,2792,322,13.4,2219,,4,o,o,o,o,B5とは逆。[T]はソファの端っこに腰をかけて、ぼんやりしている。3人は、それぞれ演奏している。,,,
2番,,,,,,,,,,,,,,,
2A_1,2712,3039,327,13.6,2553,,5,,,,o,[T]、中央のテーブルにピザの箱を置き、開ける。,,,
